,,Vulnerable sites,Vulnerable sites,Vulnerable sites,Vulnerable sites
,,Both,Only Chromium,Only Firefox,Sum
Inclusion Method,Observation Method,,,,
window.open,length,221,337,187,745
iframe-csp,length,44,77,98,219
iframe,length,35,82,99,216
script,events-fired,3,35,59,97
fetch-creds-cors,performanceAPI,0,0,96,96
object,events-fired,3,10,64,77
embed,events-fired,1,7,58,66
iframe-csp,events-fired,3,16,46,65
link-stylesheet,events-fired,1,49,8,58
fetch-creds-cors-integrity,performanceAPI,0,0,58,58
iframe-csp,el-securitypolicyviolation,14,14,23,51
script,performanceAPI,17,4,29,50
iframe-csp,win.performanceAPI,2,12,34,48
iframe-csp,origin,2,12,34,48
iframe-csp,window.name,2,12,34,48
script,el-error,0,5,43,48
iframe-csp,CSS2Properties,2,12,34,48
iframe-csp,contentDocument,2,12,34,48
iframe-csp,el-message,4,14,27,45
iframe,el-message,2,17,26,45
embed-img,events-fired,0,0,40,40
object,performanceAPI,7,16,15,38
fetch-creds-cors,fetch-response,12,3,16,31
embed,performanceAPI,6,6,17,29
window.open,window.name,1,24,1,26
window.open,win.performanceAPI,1,24,1,26
window.open,origin,1,24,1,26
iframe-csp,performanceAPI,0,26,0,26
window.open,CSS2Properties,1,24,1,26
link-stylesheet,performanceAPI,1,22,3,26
iframe-dircsp,performanceAPI,0,0,24,24
double-script,win.performanceAPI,0,20,4,24
iframe-dircsp,length,0,0,22,22
iframe,history.length,2,5,13,20
embed,el-message,0,5,14,19
iframe,events-fired,2,5,12,19
iframe,performanceAPI,0,19,0,19
iframe-csp,history.length,1,6,12,19
embed-img,performanceAPI,3,5,10,18
link-prefetch,performanceAPI,0,7,11,18
style-import,win.performanceAPI,0,13,4,17
window.open,el-message,2,8,4,14
object,contentDocument,0,11,0,11
img,height,0,9,1,10
img,naturalHeight,0,9,1,10
img,naturalWidth,0,9,1,10
img,width,0,9,1,10
img,events-fired,0,9,1,10
iframe-dircsp,events-fired,0,0,9,9
iframe,el-blur,0,8,0,8
iframe-csp,windowHeight,0,8,0,8
object,el-message,0,3,4,7
iframe-csp,el-blur,0,7,0,7
iframe,CSS2Properties,1,3,2,6
iframe,window.name,1,3,2,6
iframe,win.performanceAPI,1,3,2,6
iframe,origin,1,3,2,6
iframe,contentDocument,1,3,2,6
iframe,el-securitypolicyviolation,0,0,6,6
window.open,opener,0,6,0,6
object,el-securitypolicyviolation,0,0,5,5
window.open,windowHeight,0,5,0,5
iframe-dircsp,el-securitypolicyviolation,0,0,4,4
embed,history.length,1,2,1,4
iframe-dircsp,el-message,0,0,3,3
embed,el-securitypolicyviolation,0,0,3,3
embed-img,el-message,0,0,3,3
embed-img,el-securitypolicyviolation,0,0,3,3
iframe,windowHeight,0,3,0,3
iframe-dircsp,contentDocument,0,0,3,3
link-prefetch,events-fired,0,3,0,3
iframe-dircsp,CSS2Properties,0,0,3,3
iframe-dircsp,origin,0,0,3,3
iframe-dircsp,win.performanceAPI,0,0,3,3
iframe-dircsp,window.name,0,0,3,3
script,el-message,0,2,0,2
object,windowHeight,0,2,0,2
iframe-dircsp,history.length,0,0,2,2
embed,el-blur,0,2,0,2
object,history.length,1,1,0,2
embed,windowHeight,0,2,0,2
object,el-blur,0,2,0,2
embed-img,history.length,0,0,1,1
link-stylesheet,sheet,0,1,0,1
