events-fired,readyState,seekable,duration,error,networkState,buffered,events-fired-all,performanceAPI.smooth,0
error,0,{'length': 0},js-NaN,"{'code': 4, 'message': 'Unsupported source type'}",3,{'length': 0},"['loadstart', 'error']",uncalled,209561
error,0,{'length': 0},js-NaN,"{'code': 4, 'message': 'Unsupported source type'}",3,{'length': 0},"['loadstart', 'error']","{'size': {'transferSize': None, 'decodedBodySize': None, 'encodedBodySize': None}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'audio', 'nextHopProtocol': 'http/1.1'}",125134
uncalled,0,{'length': 0},js-NaN,js-null,2,{'length': 0},loadstart,"{'size': {'transferSize': None, 'decodedBodySize': None, 'encodedBodySize': None}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'audio', 'nextHopProtocol': 'http/1.1'}",15338
error,0,{'length': 0},js-NaN,"{'code': 4, 'message': 'Unsupported source type'}",3,{'length': 0},"['loadstart', 'error']","[{'size': {'transferSize': None, 'decodedBodySize': None, 'encodedBodySize': None}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'audio', 'nextHopProtocol': 'http/1.1'}, {'size': {'transferSize': None, 'decodedBodySize': None, 'encodedBodySize': None}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'audio', 'nextHopProtocol': 'http/1.1'}]",7600
error,0,{'length': 0},js-NaN,"{'code': 4, 'message': 'Unsupported source type'}",3,{'length': 0},"['loadstart', 'error']","[{'size': {'transferSize': None, 'decodedBodySize': None, 'encodedBodySize': None}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'audio', 'nextHopProtocol': 'http/1.1'}, {'size': {'transferSize': None, 'decodedBodySize': None, 'encodedBodySize': None}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'audio', 'nextHopProtocol': 'http/1.1'}, {'size': {'transferSize': None, 'decodedBodySize': None, 'encodedBodySize': None}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'audio', 'nextHopProtocol': 'http/1.1'}]",1046
loadedmetadata,1,{'length': 1},None,js-null,2,{'length': 0},"['loadstart', 'durationchange', 'loadedmetadata', 'progress']","[{'size': {'transferSize': None, 'decodedBodySize': None, 'encodedBodySize': None}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'audio', 'nextHopProtocol': 'http/1.1'}, {'size': {'transferSize': None, 'decodedBodySize': None, 'encodedBodySize': None}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'audio', 'nextHopProtocol': 'http/1.1'}, {'size': {'transferSize': None, 'decodedBodySize': None, 'encodedBodySize': None}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'audio', 'nextHopProtocol': 'http/1.1'}]",67
"['loadedmetadata', 'error']",1,{'length': 0},0,"{'code': 3, 'message': 'Media failed to decode'}",1,{'length': 0},"['loadstart', 'durationchange', 'loadedmetadata', 'error']","{'size': {'transferSize': None, 'decodedBodySize': None, 'encodedBodySize': None}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'audio', 'nextHopProtocol': 'http/1.1'}",48
"['loadedmetadata', 'suspend']",4,{'length': 1},2,js-null,1,{'length': 1},"['loadstart', 'durationchange', 'loadedmetadata', 'progress', 'suspend', 'loadeddata', 'canplay', 'canplaythrough']","{'size': {'transferSize': None, 'decodedBodySize': None, 'encodedBodySize': None}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'audio', 'nextHopProtocol': 'http/1.1'}",36
"['loadedmetadata', 'error']",1,{'length': 1},None,"{'code': 3, 'message': 'Media failed to decode'}",1,{'length': 0},"['loadstart', 'durationchange', 'loadedmetadata', 'error']","[{'size': {'transferSize': None, 'decodedBodySize': None, 'encodedBodySize': None}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'audio', 'nextHopProtocol': 'http/1.1'}, {'size': {'transferSize': None, 'decodedBodySize': None, 'encodedBodySize': None}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'audio', 'nextHopProtocol': 'http/1.1'}, {'size': {'transferSize': None, 'decodedBodySize': None, 'encodedBodySize': None}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'audio', 'nextHopProtocol': 'http/1.1'}]",7
"['loadedmetadata', 'suspend', 'suspend']",4,{'length': 1},2,js-null,1,{'length': 1},"['loadstart', 'durationchange', 'loadedmetadata', 'progress', 'suspend', 'loadeddata', 'canplay', 'canplaythrough', 'progress', 'suspend']","{'size': {'transferSize': None, 'decodedBodySize': None, 'encodedBodySize': None}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'audio', 'nextHopProtocol': 'http/1.1'}",1
