CSS2Properties,el-securitypolicyviolation.smooth,win.performanceAPI.smooth,el-message,events-fired,window.name,origin,events-fired-all,performanceAPI.smooth,contentDocument,length,0
"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property CSS2Properties on cross-origin object'}",uncalled,"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property PerformanceResourceTiming on cross-origin object'}",uncalled,"['load', 'load']","{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property name on cross-origin object'}","{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property origin on cross-origin object'}","['load', 'load']","[{'size': {'transferSize': 0, 'decodedBodySize': 0, 'encodedBodySize': 0}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'iframe', 'nextHopProtocol': 'http/1.1'}, {'size': {'transferSize': 0, 'decodedBodySize': 0, 'encodedBodySize': 0}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'iframe', 'nextHopProtocol': 'http/1.1'}]",js-null,0,140872
"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property CSS2Properties on cross-origin object'}","URL: , Effective Directive: frame-ancestors, Status-Code: 0","{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property PerformanceResourceTiming on cross-origin object'}",uncalled,uncalled,"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property name on cross-origin object'}","{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property origin on cross-origin object'}",nan,"{'size': {'transferSize': 0, 'decodedBodySize': 0, 'encodedBodySize': 0}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'iframe', 'nextHopProtocol': 'http/1.1'}",js-null,0,73767
nan,uncalled,uncalled,uncalled,uncalled,,http://localhost:8001,nan,"{'size': {'transferSize': 0, 'decodedBodySize': 0, 'encodedBodySize': 0}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'iframe', 'nextHopProtocol': 'http/1.1'}","{'location': {'hash': '', 'host': '', 'href': 'about:blank', 'port': '', 'origin': 'null', 'search': '', 'hostname': '', 'pathname': 'blank', 'protocol': 'about:'}}",0,42059
nan,uncalled,uncalled,uncalled,load,,http://localhost:8001,load,uncalled,"{'location': {'hash': '', 'host': '', 'href': 'about:blank', 'port': '', 'origin': 'null', 'search': '', 'hostname': '', 'pathname': 'blank', 'protocol': 'about:'}}",0,35103
nan,uncalled,uncalled,uncalled,uncalled,,http://localhost:8001,nan,uncalled,"{'location': {'hash': '', 'host': '', 'href': 'about:blank', 'port': '', 'origin': 'null', 'search': '', 'hostname': '', 'pathname': 'blank', 'protocol': 'about:'}}",0,29981
nan,uncalled,uncalled,uncalled,load,,http://localhost:8001,load,"[{'size': {'transferSize': 0, 'decodedBodySize': 0, 'encodedBodySize': 0}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'iframe', 'nextHopProtocol': ''}, {'size': {'transferSize': 0, 'decodedBodySize': 0, 'encodedBodySize': 0}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'iframe', 'nextHopProtocol': ''}]","{'location': {'hash': '', 'host': '', 'href': 'about:blank', 'port': '', 'origin': 'null', 'search': '', 'hostname': '', 'pathname': 'blank', 'protocol': 'about:'}}",0,29921
"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property CSS2Properties on cross-origin object'}",uncalled,"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property PerformanceResourceTiming on cross-origin object'}",uncalled,uncalled,"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property name on cross-origin object'}","{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property origin on cross-origin object'}",nan,"{'size': {'transferSize': 0, 'decodedBodySize': 0, 'encodedBodySize': 0}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'iframe', 'nextHopProtocol': 'http/1.1'}",js-null,0,896
"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property CSS2Properties on cross-origin object'}",uncalled,"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property PerformanceResourceTiming on cross-origin object'}",uncalled,"['load', 'load']","{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property name on cross-origin object'}","{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property origin on cross-origin object'}","['load', 'load']","[{'size': {'transferSize': 0, 'decodedBodySize': 0, 'encodedBodySize': 0}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'iframe', 'nextHopProtocol': 'http/1.1'}, {'size': {'transferSize': 0, 'decodedBodySize': 0, 'encodedBodySize': 0}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'iframe', 'nextHopProtocol': 'http/1.1'}]",js-null,1,559
"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property CSS2Properties on cross-origin object'}",uncalled,"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property PerformanceResourceTiming on cross-origin object'}",uncalled,"['load', 'load', 'load']","{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property name on cross-origin object'}","{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property origin on cross-origin object'}","['load', 'load', 'load']","[{'size': {'transferSize': 0, 'decodedBodySize': 0, 'encodedBodySize': 0}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'iframe', 'nextHopProtocol': 'http/1.1'}, {'size': {'transferSize': 0, 'decodedBodySize': 0, 'encodedBodySize': 0}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'iframe', 'nextHopProtocol': 'http/1.1'}]",js-null,0,548
"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property CSS2Properties on cross-origin object'}",uncalled,"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property PerformanceResourceTiming on cross-origin object'}",uncalled,"['load', 'load']","{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property name on cross-origin object'}","{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property origin on cross-origin object'}","['load', 'load']","[{'size': {'transferSize': 0, 'decodedBodySize': 0, 'encodedBodySize': 0}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'iframe', 'nextHopProtocol': 'http/1.1'}, {'size': {'transferSize': 0, 'decodedBodySize': 0, 'encodedBodySize': 0}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'iframe', 'nextHopProtocol': 'http/1.1'}]",js-null,2,545
