,browser,inc_method,observation_method,count,diff,ratio
12,chromium,link-stylesheet,paymentAPI,718848,38852,0.05404758725071225
16,chromium,link-stylesheet,sheet,718848,346,0.00048132567663817664
13,chromium,link-stylesheet,performanceAPI.smooth,718848,346,0.00048132567663817664
4,chromium,link-stylesheet,events-fired,718848,242,0.0003366497507122507
5,chromium,link-stylesheet,events-fired-all,718848,242,0.0003366497507122507
0,chromium,link-stylesheet,buffered,718848,2,2.782229344729345e-06
11,chromium,link-stylesheet,paused,718848,2,2.782229344729345e-06
18,chromium,link-stylesheet,videoWidth,718848,2,2.782229344729345e-06
17,chromium,link-stylesheet,videoHeight,718848,2,2.782229344729345e-06
15,chromium,link-stylesheet,seekable,718848,2,2.782229344729345e-06
14,chromium,link-stylesheet,readyState,718848,2,2.782229344729345e-06
10,chromium,link-stylesheet,networkState,718848,2,2.782229344729345e-06
1,chromium,link-stylesheet,contentDocument,718848,2,2.782229344729345e-06
9,chromium,link-stylesheet,naturalWidth,718848,2,2.782229344729345e-06
8,chromium,link-stylesheet,naturalHeight,718848,2,2.782229344729345e-06
7,chromium,link-stylesheet,height,718848,2,2.782229344729345e-06
3,chromium,link-stylesheet,error,718848,2,2.782229344729345e-06
2,chromium,link-stylesheet,duration,718848,2,2.782229344729345e-06
19,chromium,link-stylesheet,width,718848,2,2.782229344729345e-06
6,chromium,link-stylesheet,getComputedStyle,718848,0,0.0
