,browser,inc_method,observation_method,count,diff,ratio
15,chromium,double-script,paymentAPI,718848,34382,0.04782930466524216
22,chromium,double-script,win.performanceAPI.smooth,718848,864,0.001201923076923077
5,chromium,double-script,events-fired,718848,588,0.0008179754273504274
6,chromium,double-script,events-fired-all,718848,588,0.0008179754273504274
0,chromium,double-script,CSS2Properties,718848,2,2.782229344729345e-06
13,chromium,double-script,origin,718848,2,2.782229344729345e-06
21,chromium,double-script,width,718848,2,2.782229344729345e-06
20,chromium,double-script,videoWidth,718848,2,2.782229344729345e-06
19,chromium,double-script,videoHeight,718848,2,2.782229344729345e-06
18,chromium,double-script,sheet,718848,2,2.782229344729345e-06
17,chromium,double-script,seekable,718848,2,2.782229344729345e-06
16,chromium,double-script,readyState,718848,2,2.782229344729345e-06
14,chromium,double-script,paused,718848,2,2.782229344729345e-06
12,chromium,double-script,opener,718848,2,2.782229344729345e-06
1,chromium,double-script,buffered,718848,2,2.782229344729345e-06
11,chromium,double-script,networkState,718848,2,2.782229344729345e-06
10,chromium,double-script,naturalWidth,718848,2,2.782229344729345e-06
9,chromium,double-script,naturalHeight,718848,2,2.782229344729345e-06
8,chromium,double-script,length,718848,2,2.782229344729345e-06
7,chromium,double-script,height,718848,2,2.782229344729345e-06
4,chromium,double-script,error,718848,2,2.782229344729345e-06
3,chromium,double-script,duration,718848,2,2.782229344729345e-06
2,chromium,double-script,contentDocument,718848,2,2.782229344729345e-06
23,chromium,double-script,window.name,718848,2,2.782229344729345e-06
